1,How to convert binary string value to decimal,java.lang.Integer.parseInt,,,,,
2,How can I use html styles in strings with format arguments,java.lang.String.format,,,,,
3,Converting a sentence string to a string array of words in Java,java.lang.String.split,,,,,
4,"How do I create a parent-last / child-first ClassLoader in Java, or How to override an old Xerces version that was already loaded in the parent CL",java.lang.Class.forName,,,,,
5,How to timeout a thread,java.util.concurrent.Future.get,java.lang.Thread.interrupted,,,,
6,How to modify a Collection while iterating using for-each loop without ConcurrentModificationException,java.util.Iterator.remove,,,,,
7,How to hide cursor in a Swing application,java.awt.Toolkit.createCustomCursor,java.awt.Cursor.getDefaultCursor,,,,
8,How to generate a random permutation in Java,java.util.Collections.shuffle,,,,,
9,Java generating Strings with placeholders,java.lang.String.format,,,,,
10,Collect Linux command output,java.lang.Process.getInputStream,,,,,
11,How to subtract X days from a date using Java calendar,java.util.Calendar.add,,,,,
12,How do I make my ArrayList Thread-Safe? Another approach to problem in Java,java.util.Collections.synchronizedList,,,,,
13,First char to upper case,java.lang.String.charAt,java.lang.Character.toUpperCase,,,,
14,Grouping elements of a list into sublists (maybe by using guava),java.util.stream.Collectors.groupingBy,,,,,
15,Escaping special characters in Java Regular Expressions,java.util.regex.Pattern.quote,,,,,
16,How do I get localized date pattern string,java.text.SimpleDateFormat.toLocalizedPattern,java.time.format.DateTimeFormatter.ofLocalizedDate,,,,
17,Setting the default Java character encoding,java.lang.String.getBytes,java.nio.charset.Charset.defaultCharset,,,,
289,Run batch file from Java code,java.lang.Runtime.exec,,,,,
19,Resolving ip-address of a hostname,java.net.InetAddress.getHostAddress,,,,,
59,How to test a Class.forName call in Java code,java.lang.Class.forName,,,,,
21,How to remove newlines from beginning and end of a string (Java),java.lang.String.trim,,,,,
22,How to reverse a list in Java,java.util.Collections.reverse,,,,,
23,Java Convert File to Byte Array and visa versa,java.nio.file.Files.readAllBytes,java.nio.file.Files.write,,,,
24,How can I get a Unicode character's code,java.lang.Character.codePointAt,,,,,
25,Java: How to test on array equality,java.util.Arrays.deepEquals,java.util.Arrays.equals,,,,
199,Convert between LocalDate and sql.Date,java.sql.Date.toLocalDate,java.sql.Date.valueOf,,,,
27,convert Object[] from a hashmap keyset to String[],java.util.Set.toArray,,,,,
28,Fastest way to create new array with length N and fill it by repeating a given array,java.lang.System.arraycopy,,,,,
29,How to measure time taken by Java code,java.lang.System.nanoTime,,,,,
30,Java string align to right,java.lang.String.format,,,,,
31,How to split a comma-separated string,java.lang.String.split,java.util.Arrays.asList,,,,
32,toString java of arrays,java.util.Arrays.toString,,,,,
33,How to find the exact word using a regex in Java,java.util.regex.Matcher.find,,,,,
103,Instantiating an inner class,java.lang.Class.newInstance,,,,,
35,Java reflection get all private fields,java.lang.reflect.Field.getType,,,,,
36,How to get the current date and time of your timezone in Java,java.util.TimeZone.getDefault,,,,,
37,How can I get screen resolution in java,java.awt.Toolkit.getScreenResolution,java.awt.Toolkit.getScreenSize,,,,
38,Java: join array of primitives with separator,java.lang.String.join,,,,,
39,How to instantiate inner class with reflection in Java,java.lang.Class.getDeclaredConstructor,,,,,
40,How to wrap text in a JTextArea,javax.swing.JTextArea.setLineWrap,,,,,
41,How to convert Integer to int,java.lang.Integer.intValue,,,,,
42,Grouping by List of Map in Java 8,java.util.stream.Collectors.groupingBy,,,,,
43,How to sort by two fields in Java,java.util.Collections.sort,java.lang.String.compareTo,,,,
44,Getting a list of accessible methods for a given class via reflection,java.lang.Class.getMethods,java.lang.Class.getDeclaredMethods,,,,
45,How do I format a long integer as a string without separator in Java,java.lang.Long.toString,,,,,
46,How to get system time in Java without creating a new Date,java.lang.System.currentTimeMillis,java.util.Date.setTime,,,,
47,How to loop over a Class attributes in Java,java.lang.Class.getDeclaredFields,,,,,
48,Calculate whether an IP address is in a specified range in Java,java.net.InetAddress.getByName,,,,,
49,Comparing strings with == which are declared final in Java,java.lang.String.intern,,,,,
50,Java8 java.util.Date conversion to java.time.ZonedDateTime,java.time.ZonedDateTime.ofInstant,java.util.Date.toInstant,,,,
51,How to see if an object is an array without using reflection,java.util.Arrays.toString,java.lang.Class.isArray,,,,
52,Elegant way to read file into byte[] array in Java,java.nio.file.Files.readAllBytes,,,,,
53,Java parse a number in exponential notation,java.lang.Double.valueOf,,,,,
34,Remove all non alphabetic characters from a String array in java,java.lang.String.replaceAll,,,,,
55,"How do you get the ""object reference"" of an object in java when toString() and hashCode() have been overridden",java.lang.Object.hashCode,java.lang.System.identityHashCode,,,,
56,How to count the number of 1's a number will have in binary,java.lang.Integer.bitCount,,,,,
57,How to get the current Time and TimeZone from Locale,java.util.TimeZone.getDefault,java.util.Locale.getDefault,,,,
58,How to use Scanner to accept only valid int as input,java.util.Scanner.hasNextInt,,,,,
18,16 bit hex string to signed int in Java,java.lang.Integer.parseInt,,,,,
60,How to print the address of an object if you have redefined toString method,java.lang.System.identityHashCode,java.lang.Object.toString,,,,
61,How to get all possible values of an enum in java? (not knowing the specific Enum),java.lang.Class.getEnumConstants,,,,,
62,Best way to exit a program when I want an exception to be thrown,java.lang.System.exit,,,,,
63,Double value to round up in Java,java.lang.Double.parseDouble,,,,,
64,Make a negative number positive,java.lang.Math.abs,,,,,
65,Get string character by index - Java,java.lang.Character.toString,java.lang.String.charAt,,,,
66,"How to use ""cd"" command using Java runtime",java.lang.ProcessBuilder.directory,java.lang.Runtime.exec,,,,
67,How to get the insert ID in JDBC,java.sql.Statement.getGeneratedKeys,java.sql.Statement.RETURN,,,,
