"How do I create a parent-last / child-first ClassLoader in Java, or How to override an old Xerces version that was already loaded in the parent CL",['java.lang.Class.forName'],"['java.lang.ClassLoader.getSystemClassLoader', 'java.nio.file.Files.walk', 'javax.xml.parsers.DocumentBuilderFactory.newInstance', 'java.lang.Class.forName', 'java.io.File.getParentFile', 'java.io.File.lastModified', 'java.io.File.listFiles', 'java.lang.Class.getMethod', 'java.lang.reflect.Array.newInstance', 'java.util.ListIterator.previous']",4,3
Fastest way to create new array with length N and fill it by repeating a given array,['java.lang.System.arraycopy'],"['java.util.Arrays.fill', 'java.util.Arrays.copyOfRange', 'java.util.Collections.shuffle', 'java.util.Collections.nCopies', 'java.lang.System.arraycopy', 'java.util.Arrays.asList', 'java.util.Arrays.sort', 'java.util.List.toArray', 'java.nio.ByteBuffer.put', 'java.util.ArrayList.add']",5,4
How to get the current date and time of your timezone in Java,['java.util.TimeZone.getDefault'],"['java.util.Date.toString', 'java.util.Calendar.getInstance', 'java.time.Instant.now', 'java.time.ZonedDateTime.now', 'java.time.LocalDate.now', 'java.time.LocalDateTime.now', 'java.util.TimeZone.setDefault', 'java.util.TimeZone.getDefault', 'java.lang.System.currentTimeMillis', 'java.text.DateFormat.format']",8,6
How to sort by two fields in Java,"['java.util.Collections.sort', 'java.lang.String.compareTo']","['java.util.Arrays.equals', 'java.util.Arrays.deepEquals', 'java.util.Collections.sort', 'java.util.Arrays.sort', 'java.util.Comparator.comparing', 'java.util.Comparator.comparingInt', 'java.lang.String.compareTo', 'java.util.Collections.reverse', 'java.lang.System.arraycopy', 'java.util.Arrays.copyOf']",3,1
Getting a list of accessible methods for a given class via reflection,"['java.lang.Class.getMethods', 'java.lang.Class.getDeclaredMethods']","['java.lang.reflect.Field.get', 'java.lang.Class.getDeclaredFields', 'java.lang.reflect.Method.getGenericReturnType', 'java.lang.Class.forName', 'java.lang.reflect.Field.getType', 'java.lang.Class.getDeclaredMethods', 'java.lang.Class.cast', 'java.lang.reflect.Field.set', 'java.lang.Class.getDeclaredMethod', 'java.lang.Class.getMethod']",6,3
How to loop over a Class attributes in Java,['java.lang.Class.getDeclaredFields'],"['java.util.List.iterator', 'java.util.List.listIterator', 'java.lang.Class.getDeclaredFields', 'java.lang.Class.forName', 'java.lang.reflect.Field.getType', 'java.lang.Class.getFields', 'java.lang.reflect.Field.get', 'java.util.Map.values', 'java.util.HashMap.values', 'java.util.HashMap.keySet']",3,1
Comparing strings with == which are declared final in Java,['java.lang.String.intern'],"['java.lang.String.equals', 'java.lang.String.intern', 'java.lang.Integer.equals', 'java.util.List.equals', 'java.lang.Integer.valueOf', 'java.lang.Object.equals', 'java.lang.String.equalsIgnoreCase', 'java.util.Arrays.equals', 'java.lang.Long.valueOf', 'java.util.Arrays.toString']",2,1
Java parse a number in exponential notation,['java.lang.Double.valueOf'],"['java.math.BigDecimal.toEngineeringString', 'java.math.BigDecimal.toPlainString', 'java.math.BigDecimal.toString', 'java.lang.Integer.valueOf', 'java.lang.Integer.parseInt', 'java.lang.Double.valueOf', 'java.lang.Long.parseLong', 'java.lang.String.format', 'java.lang.Math.pow', 'java.lang.Double.toString']",6,2
How to sort file names in ascending order,"['java.util.Collections.sort', 'java.util.Arrays.sort']","['java.util.Collections.reverseOrder', 'java.util.Collections.sort', 'java.util.Arrays.sort', 'java.util.Collections.reverse', 'java.lang.Comparable.compareTo', 'java.lang.System.arraycopy', 'java.lang.String.compareTo', 'java.util.stream.Collectors.toList', 'java.lang.Integer.valueOf', 'java.util.stream.IntStream.collect']",2,1
How to count the number of 1's a number will have in binary,['java.lang.Integer.bitCount'],"['org.omg.CORBA.portable.InputStream.read', 'java.lang.Integer.toBinaryString', 'java.lang.Integer.bitCount', 'java.lang.Long.toBinaryString', 'java.io.InputStream.read', 'java.lang.Character.isDigit', 'java.lang.Double.doubleToLongBits', 'java.lang.Character.getNumericValue', 'java.lang.String.split', 'java.util.BitSet.toByteArray']",3,2
